chromosome	start	end	length	is_cluster_in_ovary	is_cluster_in_fc	passed	ref_genome	total_reads_ovary	total_reads_fc	total_reads_cluster_ovary	total_reads_cluster_fc	cpm_ovary	cpm_fc	ovary_fc_factor
JAECYD010000016.1	2225	8610	6385	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1046.0	982.0	125.6279143784511	127.6149697817628	0.9844292922161888
JAECYD010000016.1	977232	980378	3146	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	379.0	334.0	45.5191009076797	43.40468422312503	1.0487140206730996
JAECYD010000016.1	4477004	4483085	6081	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	4059.0	1987.0	487.4987614360736	258.21888488427976	1.887928381592017
JAECYD010000016.1	5942488	5948225	5737	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	6725.0	6475.0	807.6938089819155	841.4530848644747	0.9598797883211796
JAECYD010000016.1	6003573	6008261	4688	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	435.0	704.0	52.24487835050308	91.48771764395217	0.5710589322364275
JAECYD010000016.1	6911114	6916992	5878	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	496.0	782.0	59.5711716364357	101.62414090564005	0.5861911461741033
JAECYD010000016.1	7067348	7074582	7234	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	500.0	730.0	60.05158431092308	94.86652539784812	0.6330113183663122
JAECYD010000016.1	7371264	7376044	4780	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	73.0	289.0	8.76753130939477	37.55674772599741	0.2334475650916317
JAECYD010000016.1	8258974	8265856	6882	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1150.0	1443.0	138.1186439151231	187.5238303412258	0.7365391569903246
JAECYD010000016.1	8519098	8565130	46032	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	414.0	1056.0	49.72271180944431	137.23157646592824	0.3623270466603539
JAECYD010000016.1	9049269	9056843	7574	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1014.0	1194.0	121.784612982552	155.16524839045294	0.7848704155462507
