chromosome	start	end	length	is_cluster_in_ovary	is_cluster_in_fc	passed	ref_genome	total_reads_ovary	total_reads_fc	total_reads_cluster_ovary	total_reads_cluster_fc	cpm_ovary	cpm_fc	ovary_fc_factor
JAECYD010000016.1	8519098	8565130	46032	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	414.0	1056.0	4.972.271.180.944.430	13.723.157.646.592.800	0.3623270466603539
JAECYD010000016.1	11168652	11265138	96486	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	81480.0	115487.0	9.786.006.179.308.020	15.008.014.272.083.900	0.6520520304615343
JAECYD010000019.1	2120649	2196668	76019	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	46110.0	58467.0	5.537.957.105.153.320	759.802.895.950.135	0.7288675964084212
JAECYD010000019.1	5327233	5368621	41388	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	3889.0	3340.0	4.670.812.227.703.590	4.340.468.422.312.500	10.761.078.697.619.200
JAECYD010000019.1	5659036	5726931	67895	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	24321.0	14399.0	2.921.029.164.051.920	1.871.209.724.936.450	15.610.378.276.283.800
JAECYD010000019.1	6136110	6242794	106684	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	10478.0	7234.0	12.584.410.008.197.000	9.400.882.804.493.600	1.338.641.303.153.110
JAECYD010000019.1	6456782	6566857	110075	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	12096.0	9227.0	14.527.679.276.498.500	1.199.086.890.199.920	12.115.618.472.049.400
JAECYD010000024.1	39434	86803	47369	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	16075.0	9027.0	1.930.658.435.596.170	11.730.960.613.238.000	16.457.803.407.996.100
JAECYD010000036.1	6904562	6951985	47423	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	20667.0	15191.0	24.821.721.859.076.900	19.741.334.072.859.000	12.573.477.439.502.200
JAECYD010000046.1	18	155282	155264	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	46039.0	19748.0	5.529.429.780.181.170	25.663.344.432.283.600	2.154.602.177.736.950
